Number,Type,Name,Route
11114/5,IC,STARZYŃSKI,Terespol_MiędzyrzecPodl._Łuków_Siedlce_WarszawaWsch.
11116/7,IC,NIEMCEWICZ,Terespol_MiędzyrzecPodl._Łuków_Siedlce_WarszawaWsch.
11150/1,IC,KRASZEWSKI,WarszawaWsch._MińskMaz._Siedlce_Łuków_BiałaPodlaska_Terespol
11150/1,IC,KRASZEWSKI,WarszawaWsch._MińskMaz._Siedlce_Łuków_BiałaPodlaska_Terespol
11152/3,IC,KRASZEWSKI,Terespol_BiałaPodlaska_Łuków_Siedlce_MińskMaz._WarszawaWsch.
11152/3,IC,KRASZEWSKI,Terespol_BiałaPodlaska_Łuków_Siedlce_MińskMaz._WarszawaWsch.
1150/1,IC,NAREW,WarszawaWsch._WarszawaCentr._Koluszki_Skierniewice_ŁódźFabr.
1200/1,IC,CZARTORYSKI,ŁódźFabr._Koluszki_Skierniewice_WarszawaGdańska_WarszawaWsch._Pilawa_Dęblin_PuławyMiasto_LublinGł.
1206/7,IC,RUBINSTEIN,ŁódźFabr._Koluszki_Skierniewice_WarszawaCentr._Pilawa_Dęblin_PuławyMiasto_LublinGł.
12100/1,IC,CHEŁMIANIN,WarszawaWsch._Pilawa_Dęblin_PuławyMiasto_LublinGł._Rejowiec_Chełm
12106/7,IC,REJ,WarszawaWsch._WarszawaGdańska_Warka_RadomGł._Skarżysko_Kamienna_Kielce
12110/1,IC,NIDA,WarszawaWsch._WarszawaGdańska_WarszawaMłynów_Warka_RadomGł._Skarżysko_Kamienna_Kielce
12110/1,TLK,NIDA,WarszawaWsch._WarszawaGdańska_Radom_SkarżyskoKam._Kielce
12120/1,TLK,INKA,WarszawaWsch._Siedlce_Łuków_LublinGł.
12122/3,TLK,CZECHOWICZ,WarszawaWsch._Siedlce_Łuków_LublinGł.
12170/1,TLK,USTRONIE,WarszawaWsch._Pilawa_Dęblin_LublinGł.
1300/1,EIP,,WarszawaWsch._WarszawaCentr._CMK_KrakówGł.
1302/3,EIP,,WarszawaWsch._WarszawaCentr._CMK_KrakówGł.
1304/5,EIP,,WarszawaWsch._WarszawaCentr._CMK_KrakówGł.
1306/7,EIP,,WarszawaWsch._WarszawaCentr._CMK_KrakówGł.
1308/9,EIP,,WarszawaWsch._WarszawaCentr._CMK_KrakówGł.
1310/1,EIP,,WarszawaWsch._WarszawaCentr._CMK_KrakówGł.
13100/1,IC,MALINOWSKI,WarszawaWsch._WarszawaCentr._OpocznoPłd._KrakówGł._Tarnów_RzeszówGł._PrzemyślGł.
13100/1,IC,MALINOWSKI,WarszawaWsch._WarszawaCentr._OpocznoPłd._KrakówGł._Tarnów_RzeszówGł._PrzemyślGł.
13102/3,IC,MARSZAŁEK PIŁSUDSKI,WarszawaWsch._WarszawaGdańska_OpocznoPłd._Miechów_KrakówGł.
13104/5,IC,WITOS,WarszawaWsch._WarszawaGdańska_Warka_RadomGł._SkarżyskoKościelne_Sandomierz_StalowaWolaCentrum_Leżajsk_Jarosław_PrzemyślGł.
13106/7,IC,SAN,WarszawaWsch._WarszawaŚródmieście_Warka_Radom_SkarżyskoKościelne_Sandomierz_StalowaWolaCentrum_Leżajsk_Jarosław_PrzemyślGł.
13108/9,IC,REYMONT,ŁódźFabr._PiotrkówTrybunalski_Częstochowa_Koniecpol_Miechów_KrakówGł.
13110/1,IC,KINGA,WarszawaWsch._WarszawaGdańska_Warka_RadomGł._Kielce_Miechów_KrakówGł.
13112/3,IC,KARŁOWICZ,WarszawaWsch._WarszawaGdańska_Warka_RadomGł._Kielce_Miechów_KrakówGł._Chabówka_Zakopane
1312/3,EIP,,WarszawaWsch._WarszawaCentr._CMK_KrakówGł.
1334/5,IC,KAZIMIERZ,ŁódźFabr._TomaszówMaz._WłoszczowaPłn._Miechów_KrakówGł.
1350/1,EIC,TATRY,WarszawaWsch._WarszawaCentr._CMK_KrakówGł._Chabówka_NowyTarg_Zakopane
1352/3,EIC,KOŚCIUSZKO,WarszawaWsch._WarszawaCentr._CMK_KrakówGł.
1400/1,EIP,,WarszawaWsch._WarszawaCentr._CMK_SosnowiecGł._Katowice_Tychy_do.IIiod.IIIBielsko_BiałaGł._od.IIdo.IIIKatowice
1410/1,EIC,ONDRASZEK,WarszawaWsch._WarszawaCentr._CMK_SosnowiecGł._Katowice_Tychy_od.IIIBielsko_BiałaGł._do.IIIKatowice
1410/1,EIC,ONDRASZEK,WarszawaWsch._WarszawaCentr._CMK_SosnowiecGł._Katowice_Tychy_Bielsko_BiałaGł.
14100/1,TLK,CHEMIK,Płock_Kutno_Zgierz_ŁódźWidzew_PiotrkówTrybunalski_Częstochowa_Zawiercie_Katowice
1420/1,IC,DASZYŃSKI,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_Częstochowa_Katowice_Tychy_Bielsko_BiałaGł.
1422/3,IC,PILECKI,Białystok_Małkinia_Tłuszcz_WarszawaCentr._Skierniewice_Koluszki_Częstochowa_Katowice_Pszczyna_Bielsko_BiałaGł.
1460/1,IC,DASZYŃSKI,WarszawaWsch._WarszawaCentr._Skierniewice_Koluszki_Częstochowa_Katowice_Tychy_Skoczów_WisłaUzdrowisko
1500/1,EIP,,WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
1502/3,EIP,,WarszawaCentr._IławaGł._Tczew_GdańskGł._GdyniaGł.
1510/1,IC,SŁOWINIEC,WarszawaZach._Ciechanów_IławaGł._Tczew_GdańskGł._GdyniaGł.
1510/1,IC,SŁOWINIEC,WarszawaZach._Ciechanów_IławaGł._Tczew_GdańskGł._GdyniaGł.
15102/3,TLK,BIEBRZA,WarszawaWsch._Siedlce_Hajnówka_Białystok_Ełk_Szczytno_OlsztynGł._Elbląg_Malbork_Tczew_GdyniaGł.
1512/3,IC,WYBRZEŻE,WarszawaCentr._WarszawaWsch._IławaGł._Tczew_GdyniaGł.
15150/1,TLK,DELFIN,WarszawaCentr._WarszawaWsch._IławaGł._Tczew_GdyniaGł._Lębork_Łeba
1520/1,IC,WARMIA,WarszawaCentr._Działdowo_IławaGł._Ostróda_OlsztynGł.
1522/3,IC,MAZURY,ŁódźFabr._Koluszki_Skierniewice_WarszawaCentr._Działdowo_Nidzica_OlsztynGł.
1524/5,IC,KOPERNIK,WarszawaWsch._WarszawaCentr._Sochaczew_Kutno_Włocławek_ToruńGł._BydgoszczGł.
1524/5,IC,KOPERNIK,ŁódźFabr._Koluszki_Skierniewice_WarszawaCentr._IławaGł._ToruńGł._BydgoszczGł.
1524/5,IC,KOPERNIK,WarszawaCentr._Ciechanów_IławaGł._ToruńGł._BydgoszczGł.
